noun,files,prompt,answer,adjectives,state_A_adj,state_B_adj
napkin,"['napkin_unfolded.jpg', 'napkin_folded.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE napkin'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a folded napkin
2. a triangular napkin
3. a cloth napkin

Image 2:
1. a paper napkin
2. an unfolded napkin
3. a square napkin","['folded', 'triangular', 'cloth', 'paper', 'unfolded', 'square']","['folded', 'triangular', 'cloth']","['paper', 'unfolded', 'square']"
notepad,"['notepad_ripped.jpg', 'notepad_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE notepad'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a torn notepad
2. a ripped notepad
3. a partially torn notepad

Image 2:
1. an unused notepad
2. a new notepad
3. a pristine notepad","['torn', 'ripped', 'partially torn', 'unused', 'new', 'pristine']","['torn', 'ripped', 'partially torn']","['unused', 'new', 'pristine']"
onion,"['onion_peeled.jpg', 'onion_unpeeled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE onion'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (peeled/partially peeled):
1. a partially peeled onion
2. a half-peeled onion
3. a peeled onion

Image 2 (intact/unpeeled):
1. an unpeeled onion
2. a whole onion
3. a brown onion","['partially peeled', 'half-peeled', 'peeled', 'unpeeled', 'whole', 'brown']","['partially peeled', 'half-peeled', 'peeled']","['unpeeled', 'whole', 'brown']"
orange,"['orange_peeled.jpg', 'orange_unpeeled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE orange'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a peeled orange
2. a partially peeled orange
3. a half-peeled orange

Image 2:
1. a whole orange
2. an unpeeled orange
3. an intact orange","['peeled', 'partially peeled', 'half-peeled', 'whole', 'unpeeled', 'intact']","['peeled', 'partially peeled', 'half-peeled']","['whole', 'unpeeled', 'intact']"
paper,"['paper_unfolded.jpg', 'paper_folded.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE paper'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a torn paper
2. a hole-punched paper
3. a folded paper

Image 2:
1. a ruled paper
2. a hole-punched paper
3. a blank paper","['torn', 'hole-punched', 'folded', 'ruled', 'hole-punched', 'blank']","['torn', 'hole-punched', 'folded']","['ruled', 'hole-punched', 'blank']"
paperclip,"['paperclip_bent.jpg', 'paperclip_straight.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE paperclip'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a bent paperclip
2. a twisted paperclip
3. a deformed paperclip

Image 2:
1. a regular paperclip
2. a standard paperclip
3. an intact paperclip","['bent', 'twisted', 'deformed', 'regular', 'standard', 'intact']","['bent', 'twisted', 'deformed']","['regular', 'standard', 'intact']"
pencil,"['pencil_broken.jpg', 'pencil_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE pencil'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken pencil
2. a snapped pencil
3. a split pencil

Image 2:
1. a sharpened pencil
2. an intact pencil
3. a whole pencil","['broken', 'snapped', 'split', 'sharpened', 'intact', 'whole']","['broken', 'snapped', 'split']","['sharpened', 'intact', 'whole']"
pickle,"['pickle_sliced.jpg', 'pickle_unsliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE pickle'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (sliced):
1. a sliced pickle
2. a partially sliced pickle
3. a cut pickle

Image 2 (whole):
1. a whole pickle
2. a whole dill pickle
3. an intact pickle","['sliced', 'partially sliced', 'cut', 'whole', 'whole dill', 'intact']","['sliced', 'partially sliced', 'cut']","['whole', 'whole dill', 'intact']"
pig,"['pig_clean.jpg', 'pig_dirty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE pig'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a young pig
2. a pink pig
3. a clean pig

Image 2:
1. a muddy pig
2. a dirty pig
3. a mud-stained pig","['young', 'pink', 'clean', 'muddy', 'dirty', 'mud-stained']","['young', 'pink', 'clean']","['muddy', 'dirty', 'mud-stained']"
piggybank,"['piggybank_broken.jpg', 'piggybank_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE piggybank'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken piggybank
2. a cracked piggybank
3. a smashed piggybank

Image 2:
1. an intact piggybank
2. a pristine piggybank
3. an undamaged piggybank","['broken', 'cracked', 'smashed', 'intact', 'pristine', 'undamaged']","['broken', 'cracked', 'smashed']","['intact', 'pristine', 'undamaged']"
pineapple,"['pineapple_sliced.jpg', 'pineapple_unsliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE pineapple'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a sliced pineapple
2. a halved pineapple
3. a cut pineapple

Image 2:
1. a whole pineapple
2. an uncut pineapple
3. an intact pineapple","['sliced', 'halved', 'cut', 'whole', 'uncut', 'intact']","['sliced', 'halved', 'cut']","['whole', 'uncut', 'intact']"
pizza,"['pizza_unsliced.jpg', 'pizza_sliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE pizza'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (sliced):
1. a sliced Hawaiian pizza
2. an eight-slice pizza
3. a cut pizza

Image 2 (whole):
1. a whole Hawaiian pizza
2. an unsliced Hawaiian pizza
3. an uncut pizza","['sliced Hawaiian', 'eight-slice', 'cut', 'whole Hawaiian', 'unsliced Hawaiian', 'uncut']","['sliced Hawaiian', 'eight-slice', 'cut']","['whole Hawaiian', 'unsliced Hawaiian', 'uncut']"
plate,"['plate_whole.jpg', 'plate_broken.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE plate'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken plate
2. a shattered plate
3. a smashed plate

Image 2:
1. a clean plate
2. an intact plate
3. a pristine plate","['broken', 'shattered', 'smashed', 'clean', 'intact', 'pristine']","['broken', 'shattered', 'smashed']","['clean', 'intact', 'pristine']"
pot,"['pot_closed.jpg', 'pot_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE pot'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a lidded pot
2. a covered pot
3. a closed pot

Image 2:
1. an open pot
2. an uncovered pot
3. an unlidded pot","['lidded', 'covered', 'closed', 'open', 'uncovered', 'unlidded']","['lidded', 'covered', 'closed']","['open', 'uncovered', 'unlidded']"
potato,"['potato_dirty.jpg', 'potato_clean.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE potato'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a clean potato
2. a washed potato
3. a smooth potato

Image 2:
1. a dirty potato
2. an unwashed potato
3. a muddy potato","['clean', 'washed', 'smooth', 'dirty', 'unwashed', 'muddy']","['clean', 'washed', 'smooth']","['dirty', 'unwashed', 'muddy']"
road,"['road_straight.jpg', 'road_curved.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE road'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a winding road
2. a wavy road
3. an undulating road

Image 2:
1. a straight road
2. a long road
3. an endless road","['winding', 'wavy', 'undulating', 'straight', 'long', 'endless']","['winding', 'wavy', 'undulating']","['straight', 'long', 'endless']"
rug,"['rug_unrolled.jpg', 'rug_rolled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE rug'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a rolled-up rug
2. a rolled rug
3. a partially unrolled rug

Image 2:
1. an orange rug
2. a flat rug
3. an unrolled rug","['rolled-up', 'rolled', 'partially unrolled', 'orange', 'flat', 'unrolled']","['rolled-up', 'rolled', 'partially unrolled']","['orange', 'flat', 'unrolled']"
safetypin,"['safetypin_bent.jpg', 'safetypin_straight.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE safetypin'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an open safetypin
2. an unfastened safetypin
3. an unlatched safetypin

Image 2:
1. a closed safetypin
2. a fastened safetypin
3. a secured safetypin","['open', 'unfastened', 'unlatched', 'closed', 'fastened', 'secured']","['open', 'unfastened', 'unlatched']","['closed', 'fastened', 'secured']"
salami,"['salami_sliced.jpg', 'salami_unsliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE salami'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a sliced salami
2. a partially sliced salami
3. a fanned salami

Image 2:
1. a whole salami
2. an unsliced salami
3. an intact salami","['sliced', 'partially sliced', 'fanned', 'whole', 'unsliced', 'intact']","['sliced', 'partially sliced', 'fanned']","['whole', 'unsliced', 'intact']"
scissors,"['scissors_closed.jpg', 'scissors_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE scissors'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a closed scissors
2. a shut scissors
3. a folded scissors

Image 2 (open):
1. an open scissors
2. an open-bladed scissors
3. an opened scissors","['closed', 'shut', 'folded', 'open', 'open-bladed', 'opened']","['closed', 'shut', 'folded']","['open', 'open-bladed', 'opened']"
seatbelt,"['seatbelt_closed.jpg', 'seatbelt_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE seatbelt'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (connected): 
- a buckled seatbelt
- a fastened seatbelt
- a latched seatbelt

Image 2 (disconnected): 
- an unbuckled seatbelt
- an unfastened seatbelt
- an unlatched seatbelt","['buckled', 'fastened', 'latched', 'unbuckled', 'unfastened', 'unlatched']","['buckled', 'fastened', 'latched']","['unbuckled', 'unfastened', 'unlatched']"
shoe,"['shoe_clean.jpg', 'shoe_dirty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE shoe'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a new shoe
2. a clean shoe
3. an unworn shoe

Image 2:
4. a dirty shoe
5. a worn shoe
6. a scuffed shoe","['new', 'clean', 'unworn', 'dirty', 'worn', 'scuffed']","['new', 'clean', 'unworn']","['dirty', 'worn', 'scuffed']"
shoelace,"['shoelace_tied.jpg', 'shoelace_untied.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE shoelace'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a coiled shoelace
2. a bundled shoelace
3. a tied shoelace

Image 2:
1. an untied shoelace
2. a loose shoelace
3. an uncoiled shoelace","['coiled', 'bundled', 'tied', 'untied', 'loose', 'uncoiled']","['coiled', 'bundled', 'tied']","['untied', 'loose', 'uncoiled']"
shoppingcart,"['shoppingcart_empty.jpg', 'shoppingcart_full.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE shoppingcart'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an empty shoppingcart
2. a bare shoppingcart
3. a clean shoppingcart

Image 2:
1. a full shoppingcart
2. a loaded shoppingcart
3. a packed shoppingcart","['empty', 'bare', 'clean', 'full', 'loaded', 'packed']","['empty', 'bare', 'clean']","['full', 'loaded', 'packed']"
sleepingbag,"['sleepingbag_unrolled.jpg', 'sleepingbag_rolled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE sleepingbag'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a rolled-up sleeping bag
2. a compact sleeping bag
3. a packed sleeping bag

Image 2:
1. an unzipped sleeping bag
2. an unrolled sleeping bag
3. an open sleeping bag",[],[],[]
soccerball,"['soccerball_dirty.jpg', 'soccerball_clean.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE soccerball'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a new soccerball
2. a clean soccerball
3. a white soccerball

Image 2:
1. a dirty soccerball
2. a worn soccerball
3. a scuffed soccerball","['new', 'clean', 'white', 'dirty', 'worn', 'scuffed']","['new', 'clean', 'white']","['dirty', 'worn', 'scuffed']"
spoon,"['spoon_clean.jpg', 'spoon_dirty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE spoon'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a clean spoon
2. a shiny spoon
3. an unused spoon

Image 2:
1. a dirty spoon
2. a used spoon
3. a sauce-stained spoon","['clean', 'shiny', 'unused', 'dirty', 'used', 'sauce-stained']","['clean', 'shiny', 'unused']","['dirty', 'used', 'sauce-stained']"
staircase,"['staircase_straight.jpg', 'staircase_curved.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE staircase'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a curved staircase
2. a winding staircase
3. a wooden staircase

Image 2:
1. a straight staircase
2. a steep staircase
3. a long staircase","['curved', 'winding', 'wooden', 'straight', 'steep', 'long']","['curved', 'winding', 'wooden']","['straight', 'steep', 'long']"
stapler,"['stapler_closed.jpg', 'stapler_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE stapler'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a closed stapler
2. a shut stapler
3. a folded stapler

Image 2 (open):
1. an open stapler
2. an opened stapler
3. an exposed stapler","['closed', 'shut', 'folded', 'open', 'opened', 'exposed']","['closed', 'shut', 'folded']","['open', 'opened', 'exposed']"
stovetop,"['stovetop_clean.jpg', 'stovetop_dirty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE stovetop'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a clean stovetop
2. a spotless stovetop
3. a pristine stovetop

Image 2:
1. a dirty stovetop
2. a stained stovetop
3. a scorched stovetop","['clean', 'spotless', 'pristine', 'dirty', 'stained', 'scorched']","['clean', 'spotless', 'pristine']","['dirty', 'stained', 'scorched']"
straw,"['straw_straight.jpg', 'straw_bent.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE straw'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a bent straw
2. a folded straw
3. an angled straw

Image 2:
1. a straight straw
2. an unbent straw
3. a straightened straw","['bent', 'folded', 'angled', 'straight', 'unbent', 'straightened']","['bent', 'folded', 'angled']","['straight', 'unbent', 'straightened']"
sugarpacket,"['sugarpacket_whole.jpg', 'sugarpacket_ripped.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE sugarpacket'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","1) a torn sugarpacket
2) an opened sugarpacket
3) a ripped sugarpacket

4) an unopened sugarpacket
5) a sealed sugarpacket
6) an intact sugarpacket","['torn', 'opened', 'ripped', 'unopened', 'sealed', 'intact']","['torn', 'opened', 'ripped']","['unopened', 'sealed', 'intact']"
suitcase,"['suitcase_closed.jpg', 'suitcase_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE suitcase'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a closed suitcase
2. a blue suitcase
3. a vintage suitcase

Image 2 (open):
1. an open suitcase
2. an empty suitcase
3. a purple suitcase","['closed', 'blue', 'vintage', 'open', 'empty', 'purple']","['closed', 'blue', 'vintage']","['open', 'empty', 'purple']"
sweater,"['sweater_folded.jpg', 'sweater_unfolded.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE sweater'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (folded):
1. a folded sweater
2. a folded red sweater
3. a folded cable-knit sweater

Image 2 (laid out):
1. an unfolded sweater
2. a laid-out sweater
3. an unfolded cable-knit sweater","['folded', 'folded red', 'folded cable-knit', 'unfolded', 'laid-out', 'unfolded cable-knit']","['folded', 'folded red', 'folded cable-knit']","['unfolded', 'laid-out', 'unfolded cable-knit']"
table,"['table_broken.jpg', 'table_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE table'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken table
2. a damaged table
3. a split table

Image 2:
1. a wooden table
2. a dining table
3. an intact table","['broken', 'damaged', 'split', 'wooden', 'dining', 'intact']","['broken', 'damaged', 'split']","['wooden', 'dining', 'intact']"
tire,"['tire_broken.jpg', 'tire_whole.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE tire'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a flat tire
2. a deflated tire
3. a punctured tire

Image 2:
1. an inflated tire
2. an intact tire
3. a functional tire","['flat', 'deflated', 'punctured', 'inflated', 'intact', 'functional']","['flat', 'deflated', 'punctured']","['inflated', 'intact', 'functional']"
towel,"['towel_unfolded.jpg', 'towel_folded.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE towel'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a folded towel
2. a white towel
3. a clean towel

Image 2:
1. an unfolded towel
2. a flat towel
3. a spread-out towel","['folded', 'white', 'clean', 'unfolded', 'flat', 'spread-out']","['folded', 'white', 'clean']","['unfolded', 'flat', 'spread-out']"
treasurechest,"['treasurechest_open.jpg', 'treasurechest_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE treasurechest'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a closed treasurechest
2. a wooden treasurechest
3. a locked treasurechest

Image 2 (open):
1. an open treasurechest
2. an empty treasurechest
3. a wooden treasurechest","['closed', 'wooden', 'locked', 'open', 'empty', 'wooden']","['closed', 'wooden', 'locked']","['open', 'empty', 'wooden']"
vase,"['vase_whole.jpg', 'vase_broken.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE vase'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a broken vase
2. a chipped vase
3. a cracked vase

Image 2:
1. an intact vase
2. an undamaged vase
3. a whole vase","['broken', 'chipped', 'cracked', 'intact', 'undamaged', 'whole']","['broken', 'chipped', 'cracked']","['intact', 'undamaged', 'whole']"
wallet,"['wallet_closed.jpg', 'wallet_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE wallet'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a closed wallet
2. a folded wallet
3. a flat wallet

Image 2 (open):
1. an open wallet
2. an unfolded wallet
3. an open bi-fold wallet","['closed', 'folded', 'flat', 'open', 'unfolded', 'open bi-fold']","['closed', 'folded', 'flat']","['open', 'unfolded', 'open bi-fold']"
waterbottle,"['waterbottle_closed.jpg', 'waterbottle_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE waterbottle'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a capped waterbottle
2. a closed waterbottle
3. a lidded waterbottle

Image 2:
1. an open waterbottle
2. an uncapped waterbottle
3. an open-topped waterbottle","['capped', 'closed', 'lidded', 'open', 'uncapped', 'open-topped']","['capped', 'closed', 'lidded']","['open', 'uncapped', 'open-topped']"
watermelon,"['watermelon_sliced.jpg', 'watermelon_unsliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE watermelon'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (sliced):
1. a sliced watermelon
2. a cut watermelon
3. a partially sliced watermelon

Image 2 (whole):
1. a whole watermelon
2. an uncut watermelon
3. an intact watermelon","['sliced', 'cut', 'partially sliced', 'whole', 'uncut', 'intact']","['sliced', 'cut', 'partially sliced']","['whole', 'uncut', 'intact']"
waterpipe,"['waterpipe_straight.jpg', 'waterpipe_bent.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE waterpipe'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. an angled waterpipe
2. a bent waterpipe
3. a curved waterpipe

Image 2:
1. a straight waterpipe
2. a horizontal waterpipe
3. a cylindrical waterpipe","['angled', 'bent', 'curved', 'straight', 'horizontal', 'cylindrical']","['angled', 'bent', 'curved']","['straight', 'horizontal', 'cylindrical']"
wineglass,"['wineglass_full.jpg', 'wineglass_empty.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE wineglass'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Left image (empty):
1. an empty wineglass
2. a clear wineglass
3. a clean wineglass

Right image (contains white wine):
1. a full wineglass
2. a filled wineglass
3. a white wineglass","['empty', 'clear', 'clean', 'full', 'filled', 'white']","['empty', 'clear', 'clean']","['full', 'filled', 'white']"
yogamat,"['yogamat_rolled.jpg', 'yogamat_unrolled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE yogamat'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (rolled):
1. a rolled-up yogamat
2. a rolled yogamat
3. a blue yogamat

Image 2 (flat/unrolled):
1. an unrolled yogamat
2. a flat yogamat
3. a laid-out yogamat","['rolled-up', 'rolled', 'blue', 'unrolled', 'flat', 'laid-out']","['rolled-up', 'rolled', 'blue']","['unrolled', 'flat', 'laid-out']"
